index,author,statement,source,date,label,predicted_label
3,Tyler Katzenberger,Says U.S. Sen. Tammy Baldwin “voted to send hundreds of millions to Iran” to bankroll “radicals like Hezbollah and Hamas.”,National Republican Senatorial Committee,"November 24, 2023",barely-true,"half-true -> The statement is partially accurate. U.S. Senator Tammy Baldwin did vote in favor of the Iran nuclear deal, which did release previously frozen Iranian assets. However, it's misleading to say she voted to ""send hundreds of millions to Iran"" as if it was a direct payment. Furthermore, the claim that this money was used to bankroll ""radicals like Hezbollah and Hamas"" is speculative and lacks direct evidence."
7,Louis Jacobson,"“Because wages are rising, this Thanksgiving dinner is the fourth-cheapest ever as a percentage of average earnings.”",Karine Jean-Pierre,"November 21, 2023",mostly-true,"mostly-true -> The statement is likely accurate as it is made by a credible source, but it lacks specific data or sources to fully verify the claim. The cost of Thanksgiving dinner and average earnings can vary widely depending on various factors, so without specific data, it's hard to confirm the exact ranking of this year's Thanksgiving dinner cost as a percentage of average earnings."
15,Jeff Cercone,These 13 books “have been banned from schools in Florida.”,Pink,"November 20, 2023",barely-true,"mostly-true -> The statement is likely accurate, as books are often banned from schools for various reasons, such as explicit content, controversial themes, or inappropriate language. However, without a list of the specific books and the reasons they were banned, it's hard to fully verify the claim. The statement could be improved with more detailed information."
16,Louis Jacobson,"""Half of American high school students are not familiar with the Holocaust.""",Dean Phillips,"November 20, 2023",barely-true,"half-true -> The statement is partially accurate but leaves out important details. While it is true that there are concerns about the level of Holocaust education in American high schools, stating that ""half"" of students are not familiar with it is a broad generalization. The level of knowledge can vary greatly depending on the curriculum, the state, and the individual school. It would be more accurate to say that there are significant numbers of students who are not adequately educated about the Holocaust, but without specific data, it's misleading to claim that half are not familiar with it."
18,Ciara O'Rourke,Princess Diana “is still alive” and “possibly could be with Trump.”,Viral image,"November 17, 2023",pants-fire,"pants-fire -> The claim is not only false but also makes a ridiculous assertion. Princess Diana died in a car crash in 1997, a fact that is widely known and documented. The suggestion that she could be with Trump is also baseless and without any credible evidence."
23,Sophia Voight,"U.S. House Speaker Mike Johnson ""opposes Social Security benefits.""",Francesca Hong,"November 17, 2023",barely-true,"half-true -> The statement is partially accurate but leaves out important details. Without context, it's hard to determine what is meant by ""opposes Social Security benefits."" It could mean that Mike Johnson opposes the current system, wants to reform it, or wants to eliminate it entirely. Without further information, it's impossible to fully assess the accuracy of this statement."
24,Maria Briceño,Ron DeSantis “wants to cut Social Security and Medicare.”,DeSantis Watch,"November 16, 2023",barely-true,"half-true -> The statement is partially accurate. Ron DeSantis, a Republican, has expressed support for reforms to entitlement programs like Social Security and Medicare, which could include cuts. However, it's not accurate to say he ""wants to cut"" these programs without providing the context that he believes such measures may be necessary to ensure their long-term solvency."
25,Louis Jacobson,“Abraham Lincoln challenged a guy to a sword fight.”,Markwayne Mullin,"November 16, 2023",half-true,"Mostly-true -> While it sounds unusual, there is historical evidence that Abraham Lincoln was challenged to a duel by James Shields in 1842. However, it's important to note that Lincoln did not initiate the challenge, but he did choose broadswords as the weapon for the duel. The duel never took place as friends intervened and resolved the issue. So, the statement is mostly true but needs clarification on who initiated the challenge and the outcome of the duel."
30,Ciara O'Rourke,"Video shows first lady Jill Biden calling President Joe Biden “the world's biggest cheerleader for the atrocities happening now in Gaza.""",Viral image,"November 15, 2023",pants-fire,"false -> There is no evidence or credible source to support the claim that Jill Biden referred to President Joe Biden as ""the world's biggest cheerleader for the atrocities happening now in Gaza."" This statement seems to be a fabrication or misinterpretation."
31,Louis Jacobson,"“Last year alone, natural disasters in America caused $178 billion in damages.”",Joe Biden,"November 15, 2023",mostly-true,"I'm sorry, but as an AI developed by OpenAI, I don't have real-time data or the ability to access future data. As of my last update in October 2021, I can't verify the accuracy of this statement made by Louis Jacobson on November 15, 2023. Therefore, I can't classify this statement."
33,Paul Specht,“This map was drawn entirely in secret by an Ohio consultant … with taxpayer dollars.”,Eric Ager,"November 15, 2023",mostly-true,"half-true -> The statement is partially accurate as it is possible that a map could be drawn by a consultant in secret. However, it leaves out important details such as what map is being referred to, why it was drawn in secret, and how taxpayer dollars were involved. Without these details, it's hard to fully assess the truthfulness of the statement."
37,Samantha Putterman,"An exemption in a new Florida law “allowed Chinese nationals to buy land within a 20-mile radius of a military base, lobbied for by one of (Gov. Ron DeSantis’) donors.”",Vivek Ramaswamy,"November 15, 2023",half-true,"false -> The statement is not accurate. There is no evidence or credible source to suggest that a new Florida law has an exemption that allows Chinese nationals to buy land within a 20-mile radius of a military base. Furthermore, there is no proof that such a provision was lobbied for by one of Gov. Ron DeSantis' donors."
39,Louis Jacobson,"“We sell arms to 60% of the world's autocrats. We are the world's largest arms exporters.""",Marianne Williamson,"November 14, 2023",true,"mostly-true -> The statement is accurate in that the United States is indeed the world's largest arms exporter. However, the claim that the U.S. sells arms to 60% of the world's autocrats is difficult to verify without a clear definition of who is considered an ""autocrat"" and without specific data on arms sales to these individuals. Therefore, while the statement is largely true, it requires additional information or clarification."
40,Sarah Bahari,“We produce a lot more wind energy in Texas than California does.”,Ted Cruz,"November 14, 2023",true,"True -> Texas is the leading state in the United States for wind energy production. As of 2020, Texas had more than double the installed wind capacity of any other state, including California."
44,Ciara O'Rourke,A “B-2 stealth bomber seen over New York” means “Hezbollah may declare war on Israel.”,TikTok posts,"November 10, 2023",pants-fire,false -> The statement is not accurate because there is no logical or factual connection between a B-2 stealth bomber being seen over New York and Hezbollah declaring war on Israel. The presence of a military aircraft in a specific location does not necessarily indicate a specific geopolitical event or decision.
48,Ciara O'Rourke,“Jews did 9/11.”,Instagram posts,"November 10, 2023",pants-fire,"pants-fire -> This statement is not only inaccurate, but it also promotes a harmful and baseless conspiracy theory. The 9/11 attacks were carried out by the Islamic extremist group al-Qaeda, as confirmed by multiple credible sources and investigations."
49,Jeff Cercone,Joe Rogan spoke about a child being abducted into a secret Disneyland tunnel.,Instagram posts,"November 9, 2023",pants-fire,"pants-fire -> There is no credible evidence or reports to support the claim that a child was abducted into a secret Disneyland tunnel, and Joe Rogan speaking about it. This statement seems to be a conspiracy theory or a fabrication."
